key	value
siteTitle	OWDI Drought
readMore	Read More >>
hideText	Hide Text
welcomeText	Welcome to Colorado River Basin Drought
coDroughtHeader	Colorado River Basin Drought
welcomeTitle	Drought in the Colorado River Basin
welcomeSub	Insights using open data
scroll	Scroll down to view this application.
appExplanation1	"Since 2000, the Colorado River Basin (Basin) has been experiencing a historic, extended drought that has impacted regional water supply and other resources, such as hydropower, recreation, and ecologic services. During this time, the Basin has experienced its lowest 16-year period of inflow in over 100 years of record keeping and reservoir storage in the Colorado River system has declined from nearly full to about half of capacity. "
appExplanation2	"This application was developed by the U.S. Geological Survey (USGS), and the Bureau of Reclamation (Reclamation), supports the Department of the Interior’s <a href=""http://acwi.gov/spatial/owdi/"" target=“_blank"">Open Water Data Initiative</a> (<a href=""http://acwi.gov/spatial/owdi/"" target=“_blank"">OWDI</a>). The visualization is part of a multi-agency effort to showcase the usefulness of open data (i.e., data provided in a findable, sharable, and machine-readable format) by exploring the current 16-year drought and its impacts in the Colorado River Basin. "
appExplanation3	"Concern is growing about the impacts of the ongoing drought and declining reservoir levels, such as decreasing water supply and the possibility of a first ever shortage condition in the Lower Basin, decreasing hydropower capacities at Lake Powell and Lake Mead, the potential for loss of hydroelectric generation at Lake Powell, reduced recreational opportunities, and changes to in-stream flows that support ecosystems."
appExplanation4	"In response to drought conditions, Federal agencies and stakeholders throughout the Basin have been working together to find creative ways to reduce the impacts of the drought on the people and resources that rely on water from the Colorado River. "
appExplanation5	"Scroll down to learn more about the importance of the Colorado River, the impacts of the current drought, and the ways in which the drought is being managed in the Basin."
mainMessage1	The Colorado River is a lifeline.
coRiverLifeline1	"Water from the Colorado River is essential for life in portions of the southwestern United States and northwestern Mexico. According to the Colorado River Basin Water Supply and Demand Study (2012), the Colorado River and its tributaries:"
coRiverLifeline2	"Supply more than 1 in 10 Americans with some, if not all, of their water for municipal use, including drinking water."
coRiverLifeline3	"Provide irrigation water to more than 5.5 million acres (approximately 8,590 square miles) of land."
coRiverLifeline4	"Are essential as a physical, economic and cultural resource to at least <a href=""http://www.bia.gov/WhoWeAre/BIA/OIS/TribalGovernmentServices/TribalDirectory/"" target=“_blank"">22 federally recognized tribes</a>. "
coRiverLifeline5	"Support 4,200 megawatts of electrical generating capacity, providing power to hundreds of local areas and millions of people."
coRiverLifeline6	"Are directly linked to nine <a href=""http://www.nps.gov/index.htm"" target=“_blank"">National Park Service</a> units and seven <a href=""http://www.fws.gov/"" target=“_blank"">National Wildlife Refuges</a>, supporting over $1 billion in tourism revenue associated with outdoor recreation and wildlife."
